Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/24/2024,189.275,190.425,189.275,190.35,1.075,+0.57%,10468,60195
10/23/2024,188.975,189.95,188.5,189.275,-0.225,-0.12%,7252,58758
10/22/2024,188.6,189.6,188.6,189.5,0.95,+0.50%,6821,58124
10/21/2024,188.775,189.025,188.3,188.55,-0.5,-0.26%,5095,57052
10/18/2024,187.975,189.45,187.975,189.05,1.175,+0.63%,5965,56714
10/17/2024,187.725,188.4,186.925,187.875,0.225,+0.12%,5190,55284
10/16/2024,188.25,188.85,187.3,187.65,-0.6,-0.32%,6513,54816
10/15/2024,189.4,189.4,187.35,188.25,-1.2,-0.63%,7110,54393
10/14/2024,188.7,189.65,188.7,189.45,0.325,+0.17%,5669,53532
10/11/2024,189.3,189.625,188.825,189.125,-0.325,-0.17%,6249,52538
10/10/2024,188.525,189.575,187.925,189.45,0.575,+0.30%,8963,51938
10/09/2024,189.55,189.625,187.925,188.875,-0.775,-0.41%,7135,50444
10/08/2024,188.825,189.675,188.6,189.65,0.4,+0.21%,7715,49510
10/07/2024,188.7,189.325,188.225,189.25,0.5,+0.26%,7874,47901
10/04/2024,188.2,188.95,187.65,188.75,0.45,+0.24%,5041,47161
10/03/2024,188.225,188.875,187.625,188.3,-0.425,-0.23%,7235,46914
10/02/2024,186.5,188.75,186.5,188.725,1.85,+0.99%,10285,46525
10/01/2024,186.475,187.5,185.9,186.875,0.325,+0.17%,7586,46192
09/30/2024,186.075,186.9,185.8,186.55,0.15,+0.08%,5500,45077
09/27/2024,186.225,186.975,185.85,186.4,0.175,+0.09%,6637,44864
09/26/2024,185.4,186.4,184.625,186.225,0.2,+0.11%,6949,43918
09/25/2024,185.525,186.125,185.25,186.025,0.225,+0.12%,4907,43488
09/24/2024,185,186.35,184.825,185.8,0.5,+0.27%,9049,42781
09/23/2024,184.525,185.65,184.45,185.3,0.825,+0.45%,7809,40667
09/20/2024,183.2,184.95,182.75,184.475,0.9,+0.49%,9165,40284
09/19/2024,182.775,184.075,182.4,183.575,1.15,+0.63%,5591,39500
09/18/2024,182.375,182.675,182.075,182.425,0.05,+0.03%,4388,38923
09/17/2024,181.3,182.5,181.1,182.375,1.275,+0.70%,5004,38462
09/16/2024,181.6,182.025,180.55,181.1,-0.2,-0.11%,4458,38379
09/13/2024,181.2,182,180.55,181.3,0.1,+0.06%,5701,38474
09/12/2024,180.1,181.575,180.05,181.2,1,+0.55%,6165,38406
09/11/2024,179.25,180.55,178.375,180.2,0.725,+0.40%,5663,37930
09/10/2024,179.55,180.225,178.925,179.475,-0.075,-0.04%,5927,37425
09/09/2024,177.3,179.925,176.1,179.55,2.425,+1.37%,6240,36771
09/06/2024,178.825,179.925,176.925,177.125,-1.725,-0.96%,5664,35520
09/05/2024,180.3,180.475,178.575,178.85,-1.95,-1.08%,4999,35027
09/04/2024,180.975,181.45,180.6,180.8,-0.275,-0.15%,5111,34791
09/03/2024,180.125,181.375,179.9,181.075,0.9,+0.50%,6023,34471
08/30/2024,179.35,180.7,179.275,180.175,0.95,+0.53%,4565,33746
08/29/2024,180.1,180.2,179.075,179.225,-1.4,-0.78%,4201,33546
08/28/2024,180.55,180.95,179.6,180.625,-0.25,-0.14%,4648,32693
08/27/2024,178.975,181.125,178.975,180.875,1.725,+0.96%,5659,31695
08/26/2024,177.625,179.8,177.25,179.15,1.05,+0.59%,4471,30982
08/23/2024,178.225,179.075,177.9,178.1,-0.125,-0.07%,3777,30040
08/22/2024,176.85,178.875,176.65,178.225,1.375,+0.78%,4260,29757
08/21/2024,177.125,177.525,175.525,176.85,-0.275,-0.16%,4781,29462
08/20/2024,180.025,180.4,176.625,177.125,-3.25,-1.80%,5976,29361
08/19/2024,179.65,181,179.45,180.375,0.15,+0.08%,2575,29126
08/16/2024,182.5,182.8,178.55,180.225,-2.425,-1.33%,4773,28745
08/15/2024,182.8,183.625,182.275,182.65,-0.4,-0.22%,2439,28282
08/14/2024,182,183.475,181.9,183.05,0.95,+0.52%,4604,28126
08/13/2024,180.6,182.25,179.95,182.1,1.875,+1.04%,5964,27402
08/12/2024,180.5,180.9,179.85,180.225,-0.35,-0.19%,4080,26918
08/09/2024,178.475,180.65,178.1,180.575,1.9,+1.06%,6078,26676
08/08/2024,180.3,180.325,178.325,178.675,-1.3,-0.72%,4726,25360
08/07/2024,181,181.525,179.675,179.975,0.125,+0.07%,5836,25759
08/06/2024,180.65,181.55,179.075,179.85,-0.3,-0.17%,5667,24809
08/05/2024,180,181.7,178.575,180.15,-4.275,-2.32%,8092,24423
08/02/2024,186.9,186.9,181.4,184.425,-2.575,-1.38%,9183,24366
08/01/2024,189.5,189.525,186.225,187,-2.525,-1.33%,5239,24416
07/31/2024,189.525,189.65,188.525,189.525,-0.175,-0.09%,3189,23978
07/30/2024,189.55,190,188.75,189.7,0.225,+0.12%,2839,23575
07/29/2024,190.85,191.225,188.8,189.475,-1.4,-0.73%,3383,23821
07/26/2024,190.9,191.125,190.45,190.875,-0.05,-0.03%,2801,23771
07/25/2024,190.025,191.2,189.625,190.925,0.75,+0.39%,4333,23398
07/24/2024,190.75,191.125,189.425,190.175,-0.7,-0.37%,2807,22531
07/23/2024,189.725,190.95,189.575,190.875,1.05,+0.55%,2239,22242
07/22/2024,189.35,190.325,189.15,189.825,1.25,+0.66%,2401,21774
07/19/2024,189.075,189.1,188.25,188.575,-0.5,-0.26%,1409,21479
07/18/2024,190.9,191.45,188.9,189.075,-2.175,-1.14%,1987,21174
07/17/2024,190.525,191.325,189.525,191.25,0.725,+0.38%,2709,21198
07/16/2024,190,190.575,189.5,190.525,0.675,+0.36%,1791,20741
07/15/2024,189.85,190.7,189.35,189.85,-0.025,-0.01%,2167,20487
07/12/2024,188.725,190.075,187.975,189.875,1.025,+0.54%,2941,20279
07/11/2024,188.8,189.2,188.325,188.85,0.475,+0.25%,2449,19799
07/10/2024,189,189,187.425,188.375,-0.65,-0.34%,3465,19308
07/09/2024,190.225,191.1,187.25,189.025,-1.25,-0.66%,4963,18669
07/08/2024,191.3,191.65,189.375,190.275,-1.05,-0.55%,3312,18533
07/05/2024,191.45,192.5,191.1,191.325,-0.2,-0.10%,2747,17776
07/03/2024,190.475,191.6,190.4,191.525,0.775,+0.41%,3169,17224
07/02/2024,189.6,190.95,189.475,190.75,1.775,+0.94%,3246,16030
07/01/2024,189.45,189.475,188.25,188.975,-0.7,-0.37%,3005,16020
06/28/2024,190.95,191.375,189.25,189.675,-1.05,-0.55%,4321,15228
06/27/2024,191.2,191.775,190.225,190.725,-0.975,-0.51%,2753,14218
06/26/2024,190.5,191.85,190.475,191.7,1.175,+0.62%,1638,13438
06/25/2024,190.7,191.15,190.075,190.525,-0.175,-0.09%,1900,13122
06/24/2024,189.45,190.8,189.375,190.7,0.1,+0.05%,2212,12886
06/21/2024,191.675,191.675,190.175,190.6,-0.775,-0.40%,2127,12629
06/20/2024,192,192.525,190.525,191.375,-0.325,-0.17%,1847,12087
06/18/2024,191.75,192.3,191.15,191.7,-0.275,-0.14%,1339,11684
06/17/2024,192.025,192.325,191.325,191.975,0.05,+0.03%,1414,11364
06/14/2024,190.675,192.475,190.45,191.925,2.075,+1.09%,1838,11057
06/13/2024,189.4,190.15,188.225,189.85,0.375,+0.20%,1136,10744
06/12/2024,190,190.55,188.95,189.475,-0.325,-0.17%,1020,10797
06/11/2024,190,190.5,189.575,189.8,-0.375,-0.20%,656,10814
06/10/2024,187.975,190.25,187.975,190.175,2.275,+1.21%,1622,10696
06/07/2024,187.775,188.275,187,187.9,0.025,+0.01%,1300,10492
06/06/2024,188.875,188.875,186.775,187.875,-1.,-0.53%,1523,10330
06/05/2024,189.425,189.975,188.4,188.875,-0.55,-0.29%,933,10209
06/04/2024,189.85,190.5,189.125,189.425,-0.075,-0.04%,1006,10096
06/03/2024,189.55,189.8,187.825,189.5,0.05,+0.03%,1274,9957
05/31/2024,190.5,190.65,189.125,189.45,-1.225,-0.64%,1094,9845
05/30/2024,191.75,191.75,189.775,190.675,-1.05,-0.55%,1272,9817
05/29/2024,193.25,193.75,191.1,191.725,-1.9,-0.98%,1761,9672
05/28/2024,192.6,193.75,192.075,193.625,1.3,+0.68%,1388,9923
05/24/2024,192,192.9,191.625,192.325,-0.075,-0.04%,975,9719
05/23/2024,192.55,193.125,192.225,192.4,-0.55,-0.29%,1206,9601
05/22/2024,191.875,192.95,191.85,192.95,1.05,+0.55%,1408,9242
