Time,Open,High,Low,Last,Change,%Chg,Volume
09/04/2024,109.05,109.4,108.995,109.35,0.29,+0.27%,2176700
09/03/2024,109.12,109.37,109,109.06,0.19,+0.17%,2892600
08/30/2024,109.17,109.2481,108.8,108.87,-0.35,-0.32%,1160800
08/29/2024,109.23,109.285,109.13,109.22,-0.15,-0.14%,746000
08/28/2024,109.44,109.506,109.305,109.37,-0.01,-0.01%,687600
08/27/2024,109.16,109.46,109.13,109.38,0,0.00%,1599400
08/26/2024,109.56,109.605,109.38,109.38,0.01,+0.01%,1096600
08/23/2024,108.93,109.485,108.86,109.37,0.58,+0.53%,790400
08/22/2024,108.82,108.82,108.47,108.79,-0.34,-0.31%,1018100
08/21/2024,108.99,109.1975,108.79,109.13,0.24,+0.22%,2223500
08/20/2024,108.7,108.945,108.652,108.89,0.43,+0.40%,1449400
08/19/2024,108.37,108.64,108.37,108.46,0.07,+0.06%,1159200
08/16/2024,108.61,108.625,108.34,108.39,-0.04,-0.04%,840100
08/15/2024,108.21,108.43,108.14,108.43,-0.23,-0.21%,443800
08/14/2024,108.79,108.95,108.6017,108.66,-0.06,-0.06%,516100
08/13/2024,108.73,108.75,108.575,108.72,0.23,+0.21%,717800
08/12/2024,108.11,108.525,108.0603,108.49,0.29,+0.27%,611300
08/09/2024,108.31,108.31,108.11,108.2,0.28,+0.26%,804900
08/08/2024,107.79,107.9481,107.65,107.92,-0.1,-0.09%,1189900
08/07/2024,108.19,108.3705,107.95,108.02,-0.33,-0.30%,1239900
08/06/2024,108.72,108.75,108.33,108.35,-0.63,-0.58%,2115100
08/05/2024,108.72,109.125,108.425,108.98,0.31,+0.29%,3172400
08/02/2024,108.59,108.81,108.3841,108.67,0.52,+0.48%,1393900
08/01/2024,108.19,108.4601,108.12,108.15,-0.03,-0.03%,3247900
07/31/2024,107.89,108.2,107.64,108.18,0.59,+0.55%,1585700
07/30/2024,107.61,107.71,107.45,107.59,0.08,+0.07%,693400
07/29/2024,107.59,107.6,107.42,107.51,0.11,+0.10%,973200
07/26/2024,107.36,107.44,107.225,107.4,0.34,+0.32%,1458900
07/25/2024,106.94,107.24,106.93,107.06,0.26,+0.24%,1073100
07/24/2024,107.23,107.336,106.8,106.8,-0.32,-0.30%,1252900
07/23/2024,107.2,107.345,107.105,107.12,-0.06,-0.06%,2039600
07/22/2024,107.29,107.35,107.01,107.18,-0.13,-0.12%,2347800
07/19/2024,107.46,107.4799,107.29,107.31,-0.26,-0.24%,1948100
07/18/2024,107.68,107.83,107.56,107.57,-0.24,-0.22%,1272800
07/17/2024,107.75,107.9,107.65,107.81,0.04,+0.04%,956000
07/16/2024,107.59,107.8555,107.53,107.77,0.33,+0.31%,818100
07/15/2024,107.42,107.57,107.3301,107.44,-0.07,-0.07%,930100
07/12/2024,107.41,107.52,107.28,107.51,0.17,+0.16%,1678800
07/11/2024,107.43,107.52,107.26,107.34,0.32,+0.30%,1321000
07/10/2024,106.9,107.04,106.855,107.02,0.2,+0.19%,1476000
07/09/2024,106.9,106.96,106.6939,106.82,-0.16,-0.15%,4961600
07/08/2024,106.94,107.09,106.83,106.98,-0.04,-0.04%,1156400
07/05/2024,106.88,107.14,106.74,107.02,0.48,+0.45%,1192500
07/03/2024,106.27,106.6351,106.27,106.54,0.42,+0.40%,854200
07/02/2024,106.25,106.3,105.99,106.12,0.2,+0.19%,2341900
07/01/2024,105.99,106.31,105.85,105.92,-0.86,-0.81%,4132800
06/28/2024,107.35,107.38,106.76,106.78,-0.33,-0.31%,1960800
06/27/2024,107.14,107.24,107.0849,107.11,0.2,+0.19%,779900
06/26/2024,106.86,106.965,106.784,106.91,-0.32,-0.30%,1982200
06/25/2024,107.03,107.23,107.02,107.23,0.13,+0.12%,2228700
06/24/2024,107.07,107.12,106.96,107.1,0.06,+0.06%,950000
06/21/2024,107.29,107.37,107.0205,107.04,-0.16,-0.15%,1022800
06/20/2024,106.81,107.205,106.8,107.2,0.02,+0.02%,3173400
06/18/2024,106.99,107.24,106.935,107.18,0.43,+0.40%,1401800
06/17/2024,106.65,106.76,106.5744,106.75,-0.15,-0.14%,1020400
06/14/2024,106.87,106.995,106.77,106.9,0.13,+0.12%,1395600
06/13/2024,106.63,107,106.58,106.77,0.42,+0.39%,1906000
06/12/2024,106.78,106.91,106.3,106.35,0.16,+0.15%,1989800
06/11/2024,105.99,106.25,105.895,106.19,0.29,+0.27%,2400300
06/10/2024,105.98,106.015,105.86,105.9,-0.15,-0.14%,2040200
06/07/2024,106.3,106.3,106.05,106.05,-0.88,-0.82%,2165200
06/06/2024,106.86,106.99,106.7835,106.93,-0.09,-0.08%,1778400
06/05/2024,106.85,107.02,106.58,107.02,0.27,+0.25%,2253400
06/04/2024,106.6,106.795,106.52,106.75,0.33,+0.31%,1787800
06/03/2024,106.03,106.43,104.6878,106.42,-0.28,-0.26%,1880200
05/31/2024,106.61,106.72,106.45,106.7,0.42,+0.40%,1867500
05/30/2024,106.16,106.3202,106.15,106.28,0.41,+0.39%,1055200
05/29/2024,105.92,105.94,105.66,105.87,-0.25,-0.24%,1884000
05/28/2024,106.59,106.61,106.1001,106.12,-0.32,-0.30%,1829800
