Time,Open,High,Low,Last,Change,%Chg,Volume
10/11/2024,5775.09,5822.13,5775.09,5815.03,34.98,+0.61%,0
10/10/2024,5778.36,5795.03,5764.76,5780.05,-11.99,-0.21%,0
10/09/2024,5751.8,5796.8,5745.02,5792.04,40.91,+0.71%,0
10/08/2024,5719.14,5757.6,5714.56,5751.13,55.19,+0.97%,0
10/07/2024,5737.8,5739.34,5686.85,5695.94,-55.13,-0.96%,0
10/04/2024,5737.48,5753.21,5702.83,5751.07,51.13,+0.90%,0
10/03/2024,5698.19,5718.55,5677.37,5699.94,-9.6,-0.17%,0
10/02/2024,5698.14,5719.63,5674,5709.54,0.79,+0.01%,0
10/01/2024,5757.73,5757.73,5681.28,5708.75,-53.73,-0.93%,0
09/30/2024,5726.52,5765.14,5703.53,5762.48,24.31,+0.42%,0
09/27/2024,5755.36,5762.65,5727.34,5738.17,-7.2,-0.13%,0
09/26/2024,5762.22,5765.4,5721.01,5745.37,23.11,+0.40%,0
09/25/2024,5733.65,5741.03,5712.06,5722.26,-10.67,-0.19%,0
09/24/2024,5727.66,5735.32,5698.99,5732.93,14.36,+0.25%,0
09/23/2024,5711.9,5725.36,5704.22,5718.57,16.02,+0.28%,0
09/20/2024,5709.64,5715.14,5674.49,5702.55,-11.09,-0.19%,0
09/19/2024,5702.63,5733.57,5686.42,5713.64,95.38,+1.70%,0
09/18/2024,5641.68,5688.5,5615.08,5618.26,-16.32,-0.29%,0
09/17/2024,5655.51,5670.81,5614.05,5634.58,1.49,+0.03%,0
09/16/2024,5615.21,5636.05,5604.53,5633.09,7.07,+0.13%,0
09/13/2024,5603.34,5636.27,5602.18,5626.02,30.26,+0.54%,0
09/12/2024,5557.48,5600.71,5535.63,5595.76,41.63,+0.75%,0
09/11/2024,5496.42,5560.41,5407.09,5554.13,58.61,+1.07%,0
09/10/2024,5490.51,5497.63,5441.72,5495.52,24.47,+0.45%,0
09/09/2024,5442.07,5484.2,5434.49,5471.05,62.63,+1.16%,0
09/06/2024,5506.75,5521.56,5402.62,5408.42,-94.99,-1.73%,0
09/05/2024,5520.08,5546.3,5480.54,5503.41,-16.66,-0.30%,0
09/04/2024,5506.68,5552.6,5503.66,5520.07,-8.86,-0.16%,0
09/03/2024,5623.89,5623.89,5504.33,5528.93,-119.47,-2.12%,0
08/30/2024,5612.74,5650.17,5581.79,5648.4,56.44,+1.01%,0
08/29/2024,5607.3,5646.95,5583.71,5591.96,-0.22,0.00%,0
08/28/2024,5624.51,5627.03,5560.95,5592.18,-33.62,-0.60%,0
08/27/2024,5602.89,5631.18,5593.48,5625.8,8.96,+0.16%,0
08/26/2024,5639.66,5651.62,5602.34,5616.84,-17.77,-0.32%,0
08/23/2024,5602.49,5641.82,5585.16,5634.61,63.97,+1.15%,0
08/22/2024,5637.77,5643.22,5560.95,5570.64,-50.21,-0.89%,0
08/21/2024,5603.09,5632.68,5591.57,5620.85,23.73,+0.42%,0
08/20/2024,5602.88,5620.51,5585.5,5597.12,-11.13,-0.20%,0
08/19/2024,5557.23,5608.3,5550.74,5608.25,54,+0.97%,0
08/16/2024,5530.5,5561.98,5525.17,5554.25,11.03,+0.20%,0
08/15/2024,5501.13,5546.23,5501.13,5543.22,88.01,+1.61%,0
08/14/2024,5442.36,5463.22,5416.26,5455.21,20.78,+0.38%,0
08/13/2024,5376.98,5436.07,5376.98,5434.43,90.04,+1.68%,0
08/12/2024,5351.88,5371.2,5324.37,5344.39,0.23,0.00%,0
08/09/2024,5314.66,5358.67,5301.3,5344.16,24.85,+0.47%,0
08/08/2024,5252.57,5328.03,5233.85,5319.31,119.81,+2.30%,0
08/07/2024,5293.13,5329.82,5195.55,5199.5,-40.53,-0.77%,0
08/06/2024,5206.42,5312.34,5194.31,5240.03,53.7,+1.04%,0
08/05/2024,5121.5,5250.89,5119.26,5186.33,-160.23,-3.00%,0
08/02/2024,5367.26,5383.89,5302.49,5346.56,-100.12,-1.84%,0
08/01/2024,5537.84,5565.66,5410.42,5446.68,-75.62,-1.37%,0
07/31/2024,5505.59,5551.09,5493.75,5522.3,85.86,+1.58%,0
07/30/2024,5478.73,5488.83,5401.7,5436.44,-27.1,-0.50%,0
07/29/2024,5476.55,5487.74,5444.44,5463.54,4.44,+0.08%,0
07/26/2024,5433.67,5488.32,5430.7,5459.1,59.88,+1.11%,0
07/25/2024,5428.7,5491.59,5390.95,5399.22,-27.91,-0.51%,0
07/24/2024,5505.84,5507.69,5419.98,5427.13,-128.61,-2.31%,0
07/23/2024,5565.3,5585.34,5550.9,5555.74,-8.67,-0.16%,0
07/22/2024,5544.54,5570.36,5529.04,5564.41,59.41,+1.08%,0
07/19/2024,5543.37,5557.38,5497.04,5505,-39.59,-0.71%,0
07/18/2024,5608.56,5614.05,5522.81,5544.59,-43.68,-0.78%,0
07/17/2024,5610.07,5622.29,5584.81,5588.27,-78.93,-1.39%,0
07/16/2024,5644.09,5669.65,5639.02,5667.2,35.98,+0.64%,0
07/15/2024,5638.16,5666.94,5614.75,5631.22,15.87,+0.28%,0
07/12/2024,5590.76,5655.56,5590.55,5615.35,30.81,+0.55%,0
07/11/2024,5635.88,5642.41,5576.53,5584.54,-49.37,-0.88%,0
07/10/2024,5591.26,5635.17,5586.44,5633.91,56.93,+1.02%,0
07/09/2024,5584.24,5590.75,5574.57,5576.98,4.13,+0.07%,0
07/08/2024,5572.75,5582.69,5562.51,5572.85,5.66,+0.10%,0
07/05/2024,5537.91,5570.33,5532.84,5567.19,30.17,+0.54%,0
07/03/2024,5507.44,5539.27,5507.42,5537.02,28.01,+0.51%,0
07/02/2024,5461.84,5509.69,5458.71,5509.01,33.92,+0.62%,0
07/01/2024,5471.08,5479.55,5446.53,5475.09,14.61,+0.27%,0
06/28/2024,5488.48,5523.41,5451.12,5460.48,-22.39,-0.41%,0
06/27/2024,5473.59,5490.81,5467.54,5482.87,4.97,+0.09%,0
06/26/2024,5460.71,5483.14,5451.87,5477.9,8.6,+0.16%,0
06/25/2024,5460.73,5472.88,5446.56,5469.3,21.43,+0.39%,0
06/24/2024,5459.58,5490.66,5447.81,5447.87,-16.75,-0.31%,0
06/21/2024,5466.77,5478.31,5452.03,5464.62,-8.55,-0.16%,0
06/20/2024,5499.99,5505.53,5455.56,5473.17,-13.86,-0.25%,0
06/18/2024,5476.15,5490.38,5471.32,5487.03,13.8,+0.25%,0
06/17/2024,5431.11,5488.5,5420.4,5473.23,41.63,+0.77%,0
06/14/2024,5424.08,5432.39,5403.75,5431.6,-2.14,-0.04%,0
06/13/2024,5441.93,5441.93,5402.51,5433.74,12.71,+0.23%,0
06/12/2024,5409.13,5447.25,5409.13,5421.03,45.71,+0.85%,0
06/11/2024,5353,5375.95,5327.44,5375.32,14.53,+0.27%,0
06/10/2024,5341.22,5365.79,5331.52,5360.79,13.8,+0.26%,0
06/07/2024,5343.81,5375.08,5332.52,5346.99,-5.97,-0.11%,0
06/06/2024,5357.8,5362.06,5335.36,5352.96,-1.07,-0.02%,0
06/05/2024,5314.48,5354.16,5298.68,5354.03,62.69,+1.18%,0
06/04/2024,5278.24,5298.8,5257.63,5291.34,7.94,+0.15%,0
06/03/2024,5297.15,5302.11,5234.32,5283.4,5.89,+0.11%,0
05/31/2024,5243.21,5280.24,5191.68,5277.51,42.03,+0.80%,0
05/30/2024,5259.77,5260.21,5222.1,5235.48,-31.47,-0.60%,0
05/29/2024,5278.73,5282.27,5262.7,5266.95,-39.09,-0.74%,0
05/28/2024,5315.91,5315.91,5280.89,5306.04,1.32,+0.02%,0
05/24/2024,5281.45,5311.65,5278.39,5304.72,36.88,+0.70%,0
05/23/2024,5340.26,5341.88,5256.93,5267.84,-39.17,-0.74%,0
05/22/2024,5319.28,5323.18,5286.01,5307.01,-14.4,-0.27%,0
05/21/2024,5298.69,5324.32,5298.19,5321.41,13.28,+0.25%,0
05/20/2024,5305.35,5325.32,5302.4,5308.13,4.86,+0.09%,0
05/17/2024,5303.1,5305.45,5283.59,5303.27,6.17,+0.12%,0
05/16/2024,5310.07,5325.49,5296.19,5297.1,-11.05,-0.21%,0
05/15/2024,5263.26,5311.76,5263.26,5308.15,61.47,+1.17%,0
05/14/2024,5221.1,5250.37,5217.98,5246.68,25.26,+0.48%,0
05/13/2024,5233.08,5237.26,5211.16,5221.42,-1.26,-0.02%,0
05/10/2024,5225.49,5239.66,5209.68,5222.68,8.6,+0.16%,0
05/09/2024,5189.03,5215.3,5181.26,5214.08,26.41,+0.51%,0
05/08/2024,5168.98,5191.95,5166.21,5187.67,-0.03,0.00%,0
05/07/2024,5187.2,5200.23,5178.96,5187.7,6.96,+0.13%,0
05/06/2024,5142.42,5181,5142.42,5180.74,52.95,+1.03%,0
05/03/2024,5122.78,5135.62,5101.22,5127.79,63.59,+1.26%,0
05/02/2024,5049.32,5073.21,5011.53,5064.2,45.81,+0.91%,0
05/01/2024,5029.03,5096.12,5013.45,5018.39,-17.3,-0.34%,0
04/30/2024,5103.78,5110.83,5035.64,5035.69,-80.48,-1.57%,0
04/29/2024,5114.13,5123.19,5088.65,5116.17,16.21,+0.32%,0
04/26/2024,5084.65,5114.62,5073.28,5099.96,51.54,+1.02%,0
04/25/2024,5019.88,5057.75,4990.58,5048.42,-23.21,-0.46%,0
04/24/2024,5084.86,5089.48,5047.02,5071.63,1.08,+0.02%,0
04/23/2024,5028.85,5076.12,5027.96,5070.55,59.95,+1.20%,0
04/22/2024,4987.33,5038.84,4969.4,5010.6,43.37,+0.87%,0
04/19/2024,5005.44,5018.7,4953.56,4967.23,-43.89,-0.88%,0
04/18/2024,5031.52,5056.66,5001.89,5011.12,-11.09,-0.22%,0
04/17/2024,5068.97,5077.96,5007.25,5022.21,-29.2,-0.58%,0
04/16/2024,5064.59,5079.84,5040.39,5051.41,-10.41,-0.21%,0
04/15/2024,5149.67,5168.41,5052.47,5061.82,-61.59,-1.20%,0
04/12/2024,5171.51,5175.03,5107.94,5123.41,-75.65,-1.46%,0
04/11/2024,5172.95,5211.78,5138.77,5199.06,38.42,+0.74%,0
04/10/2024,5167.88,5178.43,5138.7,5160.64,-49.27,-0.95%,0
04/09/2024,5217.03,5224.81,5160.78,5209.91,7.52,+0.14%,0
04/08/2024,5211.37,5219.57,5197.35,5202.39,-1.95,-0.04%,0
04/05/2024,5158.95,5222.18,5157.36,5204.34,57.13,+1.11%,0
04/04/2024,5244.05,5256.59,5146.06,5147.21,-64.28,-1.23%,0
04/03/2024,5194.37,5228.75,5194.37,5211.49,5.68,+0.11%,0
04/02/2024,5204.29,5208.34,5184.05,5205.81,-37.96,-0.72%,0
04/01/2024,5257.97,5263.95,5229.2,5243.77,-10.58,-0.20%,0
03/28/2024,5248.03,5264.85,5245.82,5254.35,5.86,+0.11%,0
03/27/2024,5226.31,5249.26,5213.92,5248.49,44.91,+0.86%,0
03/26/2024,5228.85,5235.16,5203.42,5203.58,-14.61,-0.28%,0
03/25/2024,5219.52,5229.09,5216.19,5218.19,-15.99,-0.31%,0
03/22/2024,5242.48,5246.09,5229.87,5234.18,-7.35,-0.14%,0
03/21/2024,5253.43,5261.1,5240.66,5241.53,16.91,+0.32%,0
03/20/2024,5181.69,5226.19,5171.55,5224.62,46.11,+0.89%,0
03/19/2024,5139.09,5180.31,5131.59,5178.51,29.09,+0.56%,0
03/18/2024,5154.77,5175.6,5145.84,5149.42,32.33,+0.63%,0
03/15/2024,5123.31,5136.86,5104.35,5117.09,-33.39,-0.65%,0
03/14/2024,5175.14,5176.85,5123.3,5150.48,-14.83,-0.29%,0
03/13/2024,5173.49,5179.14,5151.88,5165.31,-9.96,-0.19%,0
03/12/2024,5134.3,5179.87,5115.04,5175.27,57.33,+1.12%,0
03/11/2024,5111.96,5124.66,5091.14,5117.94,-5.75,-0.11%,0
03/08/2024,5164.46,5189.05,5117.5,5123.69,-33.67,-0.65%,0
03/07/2024,5132.38,5165.62,5129.81,5157.36,52.6,+1.03%,0
03/06/2024,5108.03,5127.97,5092.22,5104.76,26.11,+0.51%,0
03/05/2024,5110.52,5114.54,5056.82,5078.65,-52.3,-1.02%,0
03/04/2024,5130.99,5149.67,5127.18,5130.95,-6.13,-0.12%,0
03/01/2024,5098.51,5140.33,5094.18,5137.08,40.81,+0.80%,0
02/29/2024,5085.36,5104.7,5061.89,5096.27,26.51,+0.52%,0
02/28/2024,5067.2,5077.37,5058.35,5069.76,-8.42,-0.17%,0
02/27/2024,5074.6,5080.69,5057.29,5078.18,8.65,+0.17%,0
02/26/2024,5093,5097.66,5069,5069.53,-19.27,-0.38%,0
02/23/2024,5100.92,5111.06,5081.46,5088.8,1.77,+0.03%,0
02/22/2024,5038.83,5094.39,5038.83,5087.03,105.23,+2.11%,0
02/21/2024,4963.03,4983.21,4946,4981.8,6.29,+0.13%,0
02/20/2024,4989.32,4993.71,4955.02,4975.51,-30.06,-0.60%,0
02/16/2024,5031.13,5038.7,4999.52,5005.57,-24.16,-0.48%,0
02/15/2024,5003.14,5032.72,4999.44,5029.73,29.11,+0.58%,0
02/14/2024,4976.44,5002.26,4956.45,5000.62,47.45,+0.96%,0
02/13/2024,4967.94,4971.3,4920.31,4953.17,-68.67,-1.37%,0
02/12/2024,5026.83,5048.39,5016.83,5021.84,-4.77,-0.09%,0
02/09/2024,5004.17,5030.06,5000.34,5026.61,28.7,+0.57%,0
02/08/2024,4995.16,5000.4,4987.09,4997.91,2.85,+0.06%,0
02/07/2024,4973.05,4999.89,4969.8,4995.06,40.83,+0.82%,0
02/06/2024,4950.16,4957.77,4935.44,4954.23,11.42,+0.23%,0
02/05/2024,4957.19,4957.19,4918.09,4942.81,-15.8,-0.32%,0
02/02/2024,4916.06,4975.29,4908.43,4958.61,52.42,+1.07%,0
02/01/2024,4861.11,4906.97,4853.52,4906.19,60.54,+1.25%,0
01/31/2024,4899.19,4906.75,4845.47,4845.65,-79.32,-1.61%,0
01/30/2024,4925.89,4931.09,4916.27,4924.97,-2.96,-0.06%,0
01/29/2024,4892.95,4929.31,4887.4,4927.93,36.96,+0.76%,0
01/26/2024,4888.91,4906.69,4881.47,4890.97,-3.19,-0.07%,0
01/25/2024,4886.66,4898.15,4869.34,4894.16,25.61,+0.53%,0
01/24/2024,4888.56,4903.68,4865.94,4868.55,3.95,+0.08%,0
01/23/2024,4856.8,4866.48,4844.37,4864.6,14.17,+0.29%,0
01/22/2024,4853.42,4868.03,4844.05,4850.43,10.62,+0.22%,0
01/19/2024,4796.28,4842.07,4786.21,4839.81,58.87,+1.23%,0
01/18/2024,4760.1,4785.79,4740.57,4780.94,41.73,+0.88%,0
01/17/2024,4739.13,4744.23,4714.82,4739.21,-26.77,-0.56%,0
01/16/2024,4772.35,4782.34,4747.12,4765.98,-17.85,-0.37%,0
01/12/2024,4791.18,4802.24,4768.98,4783.83,3.59,+0.08%,0
01/11/2024,4792.13,4798.46,4739.58,4780.24,-3.21,-0.07%,0
01/10/2024,4759.94,4790.8,4756.2,4783.45,26.95,+0.57%,0
01/09/2024,4741.93,4765.47,4730.88,4756.5,-7.04,-0.15%,0
01/08/2024,4703.7,4764.3,4699.99,4763.54,66.3,+1.41%,0
01/05/2024,4690.57,4721.46,4682.11,4697.24,8.56,+0.18%,0
01/04/2024,4697.42,4726.78,4687.53,4688.68,-16.13,-0.34%,0
01/03/2024,4725.07,4729.29,4700.13,4704.81,-38.02,-0.80%,0
01/02/2024,4745.2,4754.33,4722.67,4742.83,-27.,-0.57%,0
12/29/2023,4782.88,4788.43,4751.99,4769.83,-13.52,-0.28%,0
12/28/2023,4786.44,4793.3,4780.98,4783.35,1.77,+0.04%,0
12/27/2023,4773.45,4785.39,4768.9,4781.58,6.83,+0.14%,0
12/26/2023,4758.86,4784.72,4758.45,4774.75,20.12,+0.42%,0
12/22/2023,4753.92,4772.94,4736.77,4754.63,7.88,+0.17%,0
12/21/2023,4724.29,4748.63,4708.35,4746.75,48.4,+1.03%,0
12/20/2023,4764.73,4778.01,4697.82,4698.35,-70.02,-1.47%,0
12/19/2023,4743.72,4768.69,4743.72,4768.37,27.81,+0.59%,0
12/18/2023,4725.58,4749.52,4725.58,4740.56,21.37,+0.45%,0
12/15/2023,4710.88,4725.53,4704.69,4719.19,-0.36,-0.01%,0
12/14/2023,4721.04,4738.57,4694.34,4719.55,12.46,+0.26%,0
12/13/2023,4646.2,4709.69,4643.23,4707.09,63.39,+1.37%,0
12/12/2023,4618.3,4643.93,4608.09,4643.7,21.26,+0.46%,0
12/11/2023,4593.39,4623.7,4593.39,4622.44,18.07,+0.39%,0
12/08/2023,4576.2,4609.23,4574.06,4604.37,18.78,+0.41%,0
12/07/2023,4568.84,4590.92,4566.12,4585.59,36.25,+0.80%,0
12/06/2023,4586.23,4590.74,4546.5,4549.34,-17.84,-0.39%,0
12/05/2023,4557.25,4578.56,4551.76,4567.18,-2.6,-0.06%,0
12/04/2023,4564.37,4572.37,4546.72,4569.78,-24.85,-0.54%,0
12/01/2023,4559.43,4599.39,4554.71,4594.63,26.83,+0.59%,0
11/30/2023,4554.87,4569.84,4537.24,4567.8,17.22,+0.38%,0
11/29/2023,4571.84,4587.64,4547.15,4550.58,-4.31,-0.09%,0
11/28/2023,4545.55,4568.14,4540.51,4554.89,4.46,+0.10%,0
11/27/2023,4554.86,4560.52,4546.32,4550.43,-8.91,-0.20%,0
11/24/2023,4555.84,4560.31,4552.8,4559.34,2.72,+0.06%,0
11/22/2023,4553.04,4568.43,4545.05,4556.62,18.43,+0.41%,0
11/21/2023,4538.77,4542.14,4525.51,4538.19,-9.19,-0.20%,0
11/20/2023,4511.7,4557.11,4510.36,4547.38,33.36,+0.74%,0
