Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
08/12/2024,80.01,80.01,80.01,80.01,3.18,+4.14%,0,0
08/09/2024,76.83,76.83,76.83,76.83,0.64,+0.84%,0,0
08/08/2024,76.19,76.19,76.19,76.19,0.97,+1.29%,0,0
08/07/2024,75.22,75.22,75.22,75.22,2.06,+2.82%,0,0
08/06/2024,73.16,73.16,73.16,73.16,0.16,+0.22%,0,0
08/05/2024,73,73,73,73,-0.55,-0.75%,0,0
08/02/2024,73.55,73.55,73.55,73.55,-2.76,-3.62%,0,0
08/01/2024,76.31,76.31,76.31,76.31,-1.6,-2.05%,0,0
07/31/2024,77.91,77.91,77.91,77.91,3.17,+4.24%,0,0
07/30/2024,74.74,74.74,74.74,74.74,-1.09,-1.44%,0,0
07/29/2024,75.83,75.83,75.83,75.83,-1.3,-1.69%,0,0
07/26/2024,77.13,77.13,77.13,77.13,-1.15,-1.47%,0,0
07/25/2024,78.28,78.28,78.28,78.28,0.74,+0.95%,0,0
07/24/2024,77.54,77.54,77.54,77.54,0.6,+0.78%,0,0
07/23/2024,76.94,76.94,76.94,76.94,-1.49,-1.90%,0,0
07/22/2024,78.43,78.43,78.43,78.43,-1.7,-2.12%,0,0
07/19/2024,80.13,80.13,80.13,80.13,-2.71,-3.27%,0,0
07/18/2024,82.84,82.84,82.84,82.84,-0.02,-0.02%,0,0
07/17/2024,82.86,82.86,82.86,82.86,2.25,+2.79%,0,0
07/16/2024,80.61,80.61,80.61,80.61,-1.31,-1.60%,0,0
07/15/2024,81.92,81.92,81.92,81.92,-0.27,-0.33%,0,0
07/12/2024,82.19,82.19,82.19,82.19,-0.43,-0.52%,0,0
07/11/2024,82.62,82.62,82.62,82.62,0.53,+0.65%,0,0
07/10/2024,82.09,82.09,82.09,82.09,0.61,+0.75%,0,0
07/09/2024,81.48,81.48,81.48,81.48,-0.85,-1.03%,0,0
07/08/2024,82.33,82.33,82.33,82.33,-0.82,-0.99%,0,0
07/05/2024,83.15,83.15,83.15,83.15,-0.74,-0.88%,0,0
07/03/2024,83.89,83.89,83.89,83.89,1.09,+1.32%,0,0
07/02/2024,82.8,82.8,82.8,82.8,-0.6,-0.72%,0,0
07/01/2024,83.4,83.4,83.4,83.4,1.88,+2.31%,0,0
06/28/2024,81.52,81.52,81.52,81.52,-0.22,-0.27%,0,0
06/27/2024,81.74,81.74,81.74,81.74,0.85,+1.05%,0,0
06/26/2024,80.89,80.89,80.89,80.89,0.08,+0.10%,0,0
06/25/2024,80.81,80.81,80.81,80.81,-0.82,-1.00%,0,0
06/24/2024,81.63,81.63,81.63,81.63,0.92,+1.14%,0,0
06/21/2024,80.71,80.71,80.71,80.71,-0.61,-0.75%,0,0
06/20/2024,81.32,81.32,81.32,81.32,-0.35,-0.43%,0,0
06/18/2024,81.67,81.67,81.67,81.67,1.35,+1.68%,0,0
06/17/2024,80.32,80.32,80.32,80.32,1.91,+2.44%,0,0
06/14/2024,78.41,78.41,78.41,78.41,-0.2,-0.25%,0,0
06/13/2024,78.61,78.61,78.61,78.61,0.05,+0.06%,0,0
06/12/2024,78.56,78.56,78.56,78.56,0.69,+0.89%,0,0
06/11/2024,77.87,77.87,77.87,77.87,0.12,+0.15%,0,0
06/10/2024,77.75,77.75,77.75,77.75,2.22,+2.94%,0,0
06/07/2024,75.53,75.53,75.53,75.53,0.01,+0.01%,0,0
06/06/2024,75.52,75.52,75.52,75.52,1.45,+1.96%,0,0
06/05/2024,74.07,74.07,74.07,74.07,0.81,+1.11%,0,0
06/04/2024,73.26,73.26,73.26,73.26,-1.,-1.35%,0,0
06/03/2024,74.26,74.26,74.26,74.26,-2.72,-3.53%,0,0
05/31/2024,76.98,76.98,76.98,76.98,-0.97,-1.24%,0,0
05/30/2024,77.95,77.95,77.95,77.95,-1.29,-1.63%,0,0
05/29/2024,79.24,79.24,79.24,79.24,-0.65,-0.81%,0,0
05/28/2024,79.89,79.89,79.89,79.89,2.21,+2.85%,0,0
05/24/2024,77.68,77.68,77.68,77.68,0.82,+1.07%,0,0
05/23/2024,76.86,76.86,76.86,76.86,-0.69,-0.89%,0,0
05/22/2024,77.55,77.55,77.55,77.55,-1.01,-1.29%,0,0
05/21/2024,78.56,78.56,78.56,78.56,-1.23,-1.54%,0,0
05/20/2024,79.79,79.79,79.79,79.79,-0.27,-0.34%,0,0
05/17/2024,80.06,80.06,80.06,80.06,0.81,+1.02%,0,0
05/16/2024,79.25,79.25,79.25,79.25,0.61,+0.78%,0,0
05/15/2024,78.64,78.64,78.64,78.64,0.61,+0.78%,0,0
05/14/2024,78.03,78.03,78.03,78.03,-1.09,-1.38%,0,0
05/13/2024,79.12,79.12,79.12,79.12,0.91,+1.16%,0,0
05/10/2024,78.21,78.21,78.21,78.21,-1.05,-1.32%,0,0
05/09/2024,79.26,79.26,79.26,79.26,0.29,+0.37%,0,0
05/08/2024,78.97,78.97,78.97,78.97,0.58,+0.74%,0,0
05/07/2024,78.39,78.39,78.39,78.39,-0.11,-0.14%,0,0
05/06/2024,78.5,78.5,78.5,78.5,0.44,+0.56%,0,0
05/03/2024,78.06,78.06,78.06,78.06,-0.93,-1.18%,0,0
05/02/2024,78.99,78.99,78.99,78.99,-0.11,-0.14%,0,0
05/01/2024,79.1,79.1,79.1,79.1,-2.79,-3.41%,0,0
04/30/2024,81.89,81.89,81.89,81.89,-0.76,-0.92%,0,0
04/29/2024,82.65,82.65,82.65,82.65,-1.13,-1.35%,0,0
04/26/2024,83.78,83.78,83.78,83.78,0.22,+0.26%,0,0
04/25/2024,83.56,83.56,83.56,83.56,0.76,+0.92%,0,0
04/24/2024,82.8,82.8,82.8,82.8,-0.57,-0.68%,0,0
04/23/2024,83.37,83.37,83.37,83.37,1.43,+1.75%,0,0
04/22/2024,81.94,81.94,81.94,81.94,-1.06,-1.28%,0,0
04/19/2024,83,83,83,83,0.29,+0.35%,0,0
04/18/2024,82.71,82.71,82.71,82.71,-0.07,-0.08%,0,0
04/17/2024,82.78,82.78,82.78,82.78,-2.57,-3.01%,0,0
04/16/2024,85.35,85.35,85.35,85.35,-0.07,-0.08%,0,0
04/15/2024,85.42,85.42,85.42,85.42,-0.22,-0.26%,0,0
