Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
11/21/2023,186.575,187.025,185.9,186.375,-0.025,-0.01%,130,2283
11/20/2023,187.275,187.275,185.675,186.4,0.3,+0.16%,301,2280
11/17/2023,185,186.775,184.625,186.1,0.85,+0.46%,143,2246
11/16/2023,186.65,186.65,184.8,185.25,-2.25,-1.20%,171,2230
11/15/2023,186.05,187.575,186.025,187.5,1.325,+0.71%,204,2178
11/14/2023,185.275,187.7,185.275,186.175,1.025,+0.55%,280,2106
11/13/2023,184.075,185.55,183.825,185.15,0.825,+0.45%,219,2066
11/10/2023,183.975,184.925,183.6,184.325,0.15,+0.08%,287,2040
11/09/2023,186.525,187.6,183.65,184.175,-3.3,-1.76%,328,2069
11/08/2023,186.6,187.975,184.8,187.475,0.575,+0.31%,320,2040
11/07/2023,189.65,190.025,186.125,186.9,-3.425,-1.80%,217,2029
11/06/2023,191.7,192.125,190.2,190.325,-2.2,-1.14%,123,2014
11/03/2023,192.875,193.125,192.4,192.525,-0.275,-0.14%,132,2004
11/02/2023,191.2,193,191.075,192.8,1.85,+0.97%,317,1933
11/01/2023,190.625,191.2,190.625,190.95,0.2,+0.10%,260,1828
"Downloaded from Barchart.com as of 12-07-2024 02:36pm CST"
