Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/02/2024,1012,1012,1012,1012,-1.,-0.10%,0,0
10/01/2024,1013,1013,1013,1013,3,+0.30%,0,0
09/30/2024,1010,1010,1010,1010,-9.,-0.88%,0,0
09/27/2024,1019,1019,1019,1019,22,+2.21%,0,0
09/26/2024,997,997,997,997,-11.,-1.09%,0,0
09/25/2024,1008,1008,1008,1008,16,+1.61%,0,0
09/24/2024,992,992,992,992,3,+0.30%,0,0
09/23/2024,989,989,989,989,27,+2.81%,0,0
09/20/2024,962,962,962,962,-1.,-0.10%,0,0
09/19/2024,963,963,963,963,-1.,-0.10%,0,0
09/18/2024,964,964,964,964,12,+1.26%,0,0
09/17/2024,952,952,952,952,-2.,-0.21%,0,0
09/16/2024,954,954,954,954,-4.,-0.42%,0,0
09/13/2024,958,958,958,958,-4.,-0.42%,0,0
09/12/2024,962,962,962,962,8,+0.84%,0,0
09/11/2024,954,954,954,954,3,+0.32%,0,0
09/10/2024,951,951,951,951,-23.,-2.36%,0,0
09/09/2024,974,974,974,974,13,+1.35%,0,0
09/06/2024,961,961,961,961,-16.,-1.64%,0,0
09/05/2024,977,977,977,977,-1.,-0.10%,0,0
09/04/2024,978,978,978,978,0,0.00%,0,0
09/03/2024,978,978,978,978,12,+1.24%,0,0
08/30/2024,966,966,966,966,6,+0.63%,0,0
08/29/2024,960,960,960,960,16,+1.69%,0,0
08/28/2024,944,944,944,944,-14.,-1.46%,0,0
08/27/2024,958,958,958,958,3,+0.31%,0,0
08/26/2024,955,955,955,955,10,+1.06%,0,0
08/23/2024,945,945,945,945,11,+1.18%,0,0
08/22/2024,934,934,934,934,-26.,-2.71%,0,0
08/21/2024,960,960,960,960,5,+0.52%,0,0
08/20/2024,955,955,955,955,0,0.00%,0,0
08/19/2024,955,955,955,955,6,+0.63%,0,0
08/16/2024,949,949,949,949,-11.,-1.15%,0,0
08/15/2024,960,960,960,960,-13.,-1.34%,0,0
08/14/2024,973,973,973,973,6,+0.62%,0,0
08/13/2024,967,967,967,967,-27.,-2.72%,0,0
08/12/2024,994,994,994,994,-18.,-1.78%,0,0
08/09/2024,1012,1012,1012,1012,-6.,-0.59%,0,0
08/08/2024,1018,1018,1018,1018,-11.,-1.07%,0,0
08/07/2024,1029,1029,1029,1029,-12.,-1.15%,0,0
08/06/2024,1041,1041,1041,1041,-15.,-1.42%,0,0
08/05/2024,1056,1056,1056,1056,12,+1.15%,0,0
08/02/2024,1044,1044,1044,1044,13,+1.26%,0,0
08/01/2024,1031,1031,1031,1031,1,+0.10%,0,0
07/31/2024,1030,1030,1030,1030,1,+0.10%,0,0
07/30/2024,1029,1029,1029,1029,-43.,-4.01%,0,0
07/29/2024,1072,1072,1072,1072,0,0.00%,0,0
07/26/2024,1072,1072,1072,1072,-46.,-4.11%,0,0
07/25/2024,1118,1118,1118,1118,5,+0.45%,0,0
07/24/2024,1113,1113,1113,1113,-9.,-0.80%,0,0
07/23/2024,1122,1122,1122,1122,0,0.00%,0,0
07/22/2024,1122,1122,1122,1122,18,+1.63%,0,0
07/19/2024,1104,1104,1104,1104,0,0.00%,0,0
07/18/2024,1104,1104,1104,1104,0,0.00%,0,0
07/17/2024,1104,1104,1104,1104,6,+0.55%,0,0
07/16/2024,1098,1098,1098,1098,12,+1.10%,0,0
07/15/2024,1086,1086,1086,1086,-26.,-2.34%,0,0
07/12/2024,1112,1112,1112,1112,-12.,-1.07%,0,0
07/11/2024,1124,1124,1124,1124,4,+0.36%,0,0
07/10/2024,1120,1120,1120,1120,-18.,-1.58%,0,0
07/09/2024,1138,1138,1138,1138,-17.,-1.47%,0,0
