Time,Open,High,Low,Last,Change,%Chg,Volume
10/02/2024,295,295,295,295,1,+0.34%,0
10/01/2024,294,294,294,294,-1.,-0.34%,0
09/30/2024,295,295,295,295,0,0.00%,0
09/27/2024,295,295,295,295,-1.,-0.34%,0
09/26/2024,296,296,296,296,-1.,-0.34%,0
09/25/2024,297,297,297,297,-1.,-0.34%,0
09/24/2024,298,298,298,298,0,0.00%,0
09/23/2024,298,298,298,298,-1.,-0.33%,0
09/20/2024,299,299,299,299,-1.,-0.33%,0
09/19/2024,300,300,300,300,-2.,-0.66%,0
09/18/2024,302,302,302,302,-1.,-0.33%,0
09/17/2024,303,303,303,303,-1.,-0.33%,0
09/16/2024,304,304,304,304,0,0.00%,0
09/13/2024,304,304,304,304,-1.,-0.33%,0
09/12/2024,305,305,305,305,-1.,-0.33%,0
09/11/2024,306,306,306,306,0,0.00%,0
09/10/2024,306,306,306,306,-1.4,-0.46%,0
09/09/2024,307.4,307.4,307.4,307.4,-0.5,-0.16%,0
09/06/2024,307.9,307.9,307.9,307.9,0.6,+0.20%,0
09/04/2024,307.3,307.3,307.3,307.3,-1.7,-0.55%,0
08/29/2024,309,309,309,309,-1.,-0.32%,0
08/28/2024,310,310,310,310,-3.,-0.96%,0
08/21/2024,313,313,313,313,0,0.00%,0
08/19/2024,313,313,313,313,1,+0.32%,0
08/15/2024,312,312,312,312,1,+0.32%,0
08/14/2024,311,311,311,311,0,0.00%,0
08/13/2024,311,311,311,311,0,0.00%,0
08/12/2024,311,311,311,311,-0.1,-0.03%,0
08/09/2024,311.1,311.1,311.1,311.1,0,0.00%,0
08/08/2024,311.1,311.1,311.1,311.1,0.4,+0.13%,0
08/07/2024,310.7,310.7,310.7,310.7,0.2,+0.06%,0
08/02/2024,310.5,310.5,310.5,310.5,1.5,+0.49%,0
07/30/2024,309,309,309,309,0,0.00%,0
07/29/2024,309,309,309,309,1,+0.32%,0
07/26/2024,308,308,308,308,0,0.00%,0
07/25/2024,308,308,308,308,-1.,-0.32%,0
07/24/2024,309,309,309,309,-2.,-0.64%,0
07/23/2024,311,311,311,311,-2.,-0.64%,0
07/19/2024,313,313,313,313,-1.,-0.32%,0
07/18/2024,314,314,314,314,-2.,-0.63%,0
07/17/2024,316,316,316,316,-1.,-0.32%,0
07/16/2024,317,317,317,317,0,0.00%,0
07/15/2024,317,317,317,317,-2.,-0.63%,0
07/11/2024,319,319,319,319,-1.,-0.31%,0
07/10/2024,320,320,320,320,-1.8,-0.56%,0
07/09/2024,321.8,321.8,321.8,321.8,-1.3,-0.40%,0
07/08/2024,323.1,323.1,323.1,323.1,0.2,+0.06%,0
07/05/2024,322.9,322.9,322.9,322.9,1.5,+0.47%,0
07/03/2024,321.4,321.4,321.4,321.4,0.7,+0.22%,0
07/02/2024,320.7,320.7,320.7,320.7,1.1,+0.34%,0
07/01/2024,319.6,319.6,319.6,319.6,1.6,+0.50%,0
06/28/2024,318,318,318,318,1,+0.32%,0
06/26/2024,317,317,317,317,0,0.00%,0
06/24/2024,317,317,317,317,0,0.00%,0
06/21/2024,317,317,317,317,1,+0.32%,0
06/20/2024,316,316,316,316,0,0.00%,0
06/19/2024,316,316,316,316,2,+0.64%,0
06/18/2024,314,314,314,314,1,+0.32%,0
06/17/2024,313,313,313,313,1,+0.32%,0
06/13/2024,312,312,312,312,0,0.00%,0
06/12/2024,312,312,312,312,0,0.00%,0
